,atribut 1,atribut 2,atribut 3,atribut 4,kelas
0,8.4,54.375,13.6,13.5,0.0
1,10.8,67.5,14.4,22.2,1.0
2,21.6,62.5,13.6,20.7,1.0
3,10.8,46.875,9.0,16.8,0.0
4,10.8,58.75,14.2,13.5,0.0
5,21.6,61.875,11.2,18.3,1.0
6,6.0,54.375,14.2,18.3,0.0
7,7.8,45.0,10.2,21.6,0.0
8,21.0,42.5,14.6,18.3,0.0
9,6.0,58.75,12.8,21.3,0.0
10,20.4,73.125,10.8,21.6,1.0
11,6.6,67.5,14.8,21.0,1.0
12,10.8,39.375,10.6,23.1,0.0
13,10.2,53.125,12.4,19.2,0.0
14,7.2,54.375,10.8,18.6,0.0
15,21.6,73.125,14.8,21.9,1.0
16,18.6,70.625,8.8,18.6,1.0
17,6.6,45.0,15.0,21.0,0.0
18,10.8,55.625,11.6,19.2,0.0
19,7.2,33.75,14.0,23.7,0.0
20,19.2,49.375,8.8,21.0,1.0
21,19.2,72.5,11.6,21.0,1.0
22,6.6,60.625,13.2,15.0,0.0
23,8.4,55.625,9.8,12.6,0.0
24,12.0,53.75,10.2,20.1,0.0
25,14.4,40.0,13.8,16.2,0.0
26,21.6,80.0,10.8,24.0,1.0
27,21.0,38.75,12.4,21.6,0.0
28,6.6,35.625,11.6,19.8,0.0
29,18.0,80.625,11.8,24.0,1.0
30,7.2,45.625,13.0,12.6,0.0
31,6.6,44.375,9.4,12.6,0.0
32,12.0,52.5,8.0,20.4,0.0
33,7.2,45.0,11.8,18.0,0.0
34,23.4,79.375,10.8,22.2,1.0
35,20.4,78.125,8.6,21.6,1.0
36,12.0,43.75,10.2,15.6,0.0
37,23.4,66.875,15.6,19.2,1.0
38,18.6,79.375,10.4,21.3,1.0
39,21.6,41.25,13.0,18.0,0.0
40,23.4,60.625,14.2,20.1,1.0
41,20.4,56.25,16.0,20.4,1.0
42,11.4,70.0,9.6,15.6,1.0
43,23.4,71.25,14.8,19.8,1.0
44,19.2,81.25,9.8,19.8,1.0
45,11.4,69.375,14.2,21.3,1.0
46,19.8,52.5,8.4,18.0,1.0
47,7.2,66.875,11.0,18.9,0.0
48,6.6,48.75,8.2,17.4,0.0
49,8.4,35.625,13.4,13.5,0.0
50,22.8,51.875,11.0,20.7,1.0
51,9.0,67.5,15.4,21.3,1.0
52,19.2,61.25,8.0,21.3,1.0
53,20.4,63.75,8.6,21.6,1.0
54,6.6,37.5,11.8,22.8,0.0
55,12.0,34.375,13.8,14.4,0.0
56,7.2,59.375,13.0,20.4,0.0
57,11.4,63.125,13.4,15.6,0.0
58,19.2,71.25,13.2,21.9,1.0
59,19.8,78.75,8.8,23.4,1.0
60,19.8,41.875,11.0,22.5,0.0
61,12.0,33.75,9.6,22.5,0.0
62,21.6,74.375,10.6,20.1,1.0
63,22.2,65.625,14.6,21.6,0.0
64,11.4,70.0,10.2,23.7,1.0
65,10.8,60.0,15.0,21.0,0.0
66,7.8,32.5,11.6,21.0,0.0
67,12.0,47.5,15.8,12.3,0.0
68,19.8,68.75,10.6,22.5,1.0
69,21.6,75.625,14.8,22.5,1.0
70,18.6,46.875,12.8,20.7,0.0
71,19.2,80.0,14.8,19.5,1.0
72,10.2,59.375,11.0,15.0,0.0
73,24.0,80.625,12.2,18.9,1.0
74,7.2,46.25,15.6,16.5,0.0
75,20.4,78.125,10.2,18.6,1.0
76,19.2,47.5,9.4,18.9,0.0
77,9.6,66.875,14.2,17.7,1.0
78,7.2,38.75,12.6,19.5,0.0
79,20.4,46.25,9.6,21.3,0.0
80,11.4,57.5,13.4,17.1,0.0
81,9.6,32.5,10.2,18.0,0.0
82,7.2,57.5,10.8,16.2,0.0
83,18.0,48.75,11.6,20.1,0.0
84,9.0,43.75,8.0,20.7,0.0
85,24.0,58.125,12.6,21.6,1.0
86,23.4,67.5,9.6,20.1,1.0
87,9.6,55.625,13.6,16.8,0.0
88,10.8,43.75,12.0,20.1,0.0
89,22.8,75.0,10.4,23.7,1.0
90,21.6,53.125,9.0,21.0,1.0
91,6.6,42.5,8.8,19.8,0.0
92,19.2,45.0,11.6,21.0,0.0
93,22.2,71.875,10.6,19.5,1.0
94,10.8,36.25,11.2,21.9,0.0
95,22.8,50.0,14.0,20.1,1.0
96,10.2,42.5,11.2,22.8,0.0
97,10.8,43.125,12.2,23.4,0.0
98,6.6,33.75,8.0,23.1,0.0
99,7.2,56.875,12.0,21.9,0.0
100,6.6,44.375,11.2,13.5,0.0
101,21.6,56.25,15.6,18.3,1.0
102,18.6,75.0,10.4,18.6,1.0
103,7.2,41.25,13.2,20.1,0.0
104,7.8,57.5,11.4,13.5,0.0
105,10.2,36.875,9.4,13.2,0.0
106,21.6,50.625,9.8,18.6,1.0
107,10.8,54.375,13.2,18.3,0.0
108,12.0,51.25,15.0,13.2,0.0
109,24.0,45.625,10.4,20.7,1.0
110,10.2,66.25,14.4,18.0,1.0
111,9.6,55.0,9.4,23.1,0.0
112,11.4,34.375,11.2,16.2,0.0
113,6.0,48.75,11.8,17.7,0.0
114,7.8,56.25,10.8,14.7,0.0
115,11.4,33.75,14.6,17.1,0.0
116,9.0,41.875,11.8,23.1,0.0
117,19.8,58.125,8.8,23.7,1.0
118,9.6,34.375,11.8,23.4,0.0
119,21.6,75.0,13.2,21.9,1.0
120,12.0,50.625,8.0,17.1,0.0
121,6.6,51.25,10.0,18.0,0.0
122,21.0,60.0,11.8,21.6,1.0
123,18.6,40.0,15.2,24.0,0.0
124,10.8,38.75,15.6,15.3,0.0
125,19.2,50.0,16.0,23.7,1.0
126,10.2,41.25,14.4,22.5,0.0
127,7.2,41.875,16.2,13.8,0.0
128,10.2,39.375,15.8,12.9,0.0
129,19.8,45.625,11.2,21.3,0.0
130,9.0,38.125,14.2,17.4,0.0
131,19.2,52.5,8.6,22.2,1.0
132,10.8,66.25,13.8,24.0,1.0
133,22.8,77.5,8.2,23.4,1.0
134,23.4,82.5,10.4,21.0,1.0
135,24.0,63.125,14.4,23.1,1.0
136,9.0,35.625,9.8,12.9,0.0
137,19.2,54.375,14.2,21.0,1.0
138,23.4,53.125,12.4,23.4,1.0
139,9.0,61.25,14.0,19.8,0.0
140,6.6,45.625,12.0,15.0,0.0
141,22.8,40.0,15.2,21.0,0.0
142,22.8,55.625,14.4,21.9,1.0
143,10.8,35.0,12.0,20.1,0.0
144,22.8,50.625,8.4,24.0,1.0
145,6.0,64.375,8.4,14.7,0.0
146,10.8,37.5,10.4,21.6,0.0
